GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
QA BDD Framework,com.qa.bdd.steps,UiSteps,286,0,30,0,56,0,36,0,15,0
QA BDD Framework,com.qa.bdd.steps,Hooks,61,43,4,2,12,14,3,5,0,5
QA BDD Framework,com.qa.bdd.steps,ValidateSteps,13,289,8,22,0,39,9,21,1,14
QA BDD Framework,com.qa.bdd.steps,ApiSteps,3,255,2,16,2,48,2,24,0,17
QA BDD Framework,utils,Config,20,38,1,1,4,12,2,2,1,2
QA BDD Framework,utils,ValueResolver,164,288,30,28,25,49,29,17,5,10
QA BDD Framework,utils,LocatorUtils,315,0,40,0,72,0,36,0,9,0
QA BDD Framework,utils,ValueResolver.UnknownTokenException,5,0,0,0,2,0,1,0,1,0
QA BDD Framework,utils,WebDriverUtils,329,0,14,0,75,0,17,0,10,0
QA BDD Framework,utils,LogFactory.new SimpleFormatter() {...},0,37,0,0,0,7,0,2,0,2
QA BDD Framework,utils,LogFactory,19,83,0,0,6,21,0,5,0,5
QA BDD Framework,utils,DriverFactory,71,11,6,0,16,3,9,2,5,2
QA BDD Framework,utils,LogFactory.LoggerInitializationException,5,0,0,0,2,0,1,0,1,0
QA BDD Framework,utils,WebDriverUtilsInternal,73,0,0,0,19,0,9,0,9,0
QA BDD Framework,context,ScenarioContext,2,41,1,1,0,13,1,7,0,7
QA BDD Framework,api,RestClient,122,0,18,0,24,0,13,0,2,0
QA BDD Framework,api,ApiSpecLoader,19,31,3,3,4,8,3,2,0,2
QA BDD Framework,api,PayloadOverwriter,37,143,17,17,7,32,15,7,0,5
QA BDD Framework,exceptions,PayloadBuildException,9,0,0,0,4,0,2,0,2,0
QA BDD Framework,exceptions,LocatorException,9,0,0,0,4,0,2,0,2,0
QA BDD Framework,exceptions,ElementNotFoundException,9,0,0,0,4,0,2,0,2,0
